Indicator Category,Indicator,Owner,Priority,frequency (min),Deviation,SP name,Subject,Who to inform,Last run
Deposits,Deposits,Amnon,SMS,10,10%,,Deviation in deposits in last [frequency],"Itai, Mike, Gavriel",
,Deposits Nuvei,,,,,,,,
,Deposits PayPal,,,,,,,,
,Deposits Pay via phone,,,,,,,,
,Deposists Worldpay,,,,,,,,
,Deposits Apple Pay,,,,,,,,
,,,,,,,,,
WD,WD requests,Amnon,SMS,10,10%,,Deviation in WD in last [frequency],"Itai, Mike, Gavriel",
,WD auto,,,,,,,,
,WD semi,,,,,,,,
,,,,,,,,,
Bet,Bet,,SMS,10,10%,,Deviation in bets in last [frequency],"Itai, Mike, Gavriel",
,Bet Slots,,,,,,,,
,Bet Sport,,,,,,,,
,Bet Bingo,,,,,,,,
,,,,,,,,,
Safer Gambling,Interactions,Amnon,SMS,60,10%,,Deviation in Safer Gambling Interactions in the last [frequency],"Itai, Mike, Gavriel",
,GBG Verification,,SMS,60,10%,,Deviation in GBG Verification checks in the last [frequency],"Itai, Mike, Gavriel",
,GBG Frictionless,,SMS,60,10%,,Deviation in GBG Frictionless checks in the last [frequency],"Itai, Mike, Gavriel",
,Gamstop,,SMS,60,10%,,Deviation in Gamstop in the last [frequency],"Itai, Mike, Gavriel",
,Locate,,,,,,,,
,,,,,,,,,
AML,Interactions,"Amnon, Oded",SMS,60,10%,,Deviation in AML Interactions in the last [frequency],"Itai, Mike, Gavriel",
,,,,,,,,,
Registraions,Regs,Amnon,SMS,10,10%,,Deviation in Registraions in the last [frequency],"Itai, Mike, Gavriel",
,Leads,,,,,,,,
,,,,,,,,,
FTD,FTD,Amnon,SMS,10,10%,,Deviation in FTD's in the last [frequency],"Itai, Mike, Gavriel",
,FTDA,,,,,,,,
,,,,,,,,,
Net to Deposit,,,,,,,,,
AR,,,,,,,,,
,,,,,,,,,
Bonus,,"Efrat, Sharon",,,,,,"Itai, Mike, Gavriel",
Admin Fees,,Efrat,,,,,,"Itai, Mike, Gavriel",
Emails,,Sharon,,,,,,"Itai, Mike, Gavriel",
